"ADM2_PCODE","ADM2_EN","collection_date","agesex","mau_lower","pop_mau_lower"
"PS0265","Deir Al-Balah","2023-10-13","F_18Plus",3600,84876.6361641718
"PS0265","Deir Al-Balah","2023-10-13","F_20Plus",3400,78466.5406176216
"PS0265","Deir Al-Balah","2023-10-13","M_18Plus",4900,84677.2940703442
"PS0265","Deir Al-Balah","2023-10-13","M_20Plus",4500,78083.0071861225
"PS0265","Deir Al-Balah","2023-10-13","T_18Plus",8600,169553.930234516
"PS0265","Deir Al-Balah","2023-10-13","T_20Plus",7900,156549.547803744
"PS0260","Gaza","2023-10-13","F_18Plus",22000,196778.442832822
"PS0260","Gaza","2023-10-13","F_20Plus",20700,181917.243366575
"PS0260","Gaza","2023-10-13","M_18Plus",30100,201090.006601582
"PS0260","Gaza","2023-10-13","M_20Plus",27800,185430.021151654
"PS0260","Gaza","2023-10-13","T_18Plus",52000,397868.449434403
"PS0260","Gaza","2023-10-13","T_20Plus",48300,367347.264518229
"PS0270","Khan Younis","2023-10-13","F_18Plus",9100,115573.000691403
"PS0270","Khan Younis","2023-10-13","F_20Plus",8500,106844.639030127
"PS0270","Khan Younis","2023-10-13","M_18Plus",12200,117362.019971201
"PS0270","Khan Younis","2023-10-13","M_20Plus",11100,108222.393610928
"PS0270","Khan Younis","2023-10-13","T_18Plus",21500,232935.020662603
"PS0270","Khan Younis","2023-10-13","T_20Plus",19900,215067.032641055
"PS0255","North Gaza","2023-10-13","F_18Plus",5400,116703.066115806
"PS0255","North Gaza","2023-10-13","F_20Plus",5000,107889.359091287
"PS0255","North Gaza","2023-10-13","M_18Plus",7700,119336.369091462
"PS0255","North Gaza","2023-10-13","M_20Plus",7000,110042.989299983
"PS0255","North Gaza","2023-10-13","T_18Plus",13200,236039.435207268
"PS0255","North Gaza","2023-10-13","T_20Plus",12100,217932.34839127
"PS0275","Rafah","2023-10-13","F_18Plus",6000,73017.7160681253
"PS0275","Rafah","2023-10-13","F_20Plus",5600,67503.235785445
"PS0275","Rafah","2023-10-13","M_18Plus",8300,73193.7496880422
"PS0275","Rafah","2023-10-13","M_20Plus",7600,67493.7496009599
"PS0275","Rafah","2023-10-13","T_18Plus",14300,146211.465756168
"PS0275","Rafah","2023-10-13","T_20Plus",13000,134996.985386405
"PS0265","Deir Al-Balah","2023-10-14","F_18Plus",3600,85359.8142767879
"PS0265","Deir Al-Balah","2023-10-14","F_20Plus",3300,77127.9350262774
"PS0265","Deir Al-Balah","2023-10-14","M_18Plus",4900,84792.8258845393
"PS0265","Deir Al-Balah","2023-10-14","M_20Plus",4400,76706.355263676
"PS0265","Deir Al-Balah","2023-10-14","T_18Plus",8400,166794.754898455
"PS0265","Deir Al-Balah","2023-10-14","T_20Plus",7800,155478.953199747
"PS0260","Gaza","2023-10-14","F_18Plus",22000,197898.645528268
"PS0260","Gaza","2023-10-14","F_20Plus",20700,184232.413469839
"PS0260","Gaza","2023-10-14","M_18Plus",30100,201364.369328146
"PS0260","Gaza","2023-10-14","M_20Plus",27800,186300.792294768
"PS0260","Gaza","2023-10-14","T_18Plus",51900,399942.179686962
"PS0260","Gaza","2023-10-14","T_20Plus",48200,368747.425409625
"PS0270","Khan Younis","2023-10-14","F_18Plus",8900,113676.398509561
"PS0270","Khan Younis","2023-10-14","F_20Plus",8300,105658.411684484
"PS0270","Khan Younis","2023-10-14","M_18Plus",12000,115595.553538523
"PS0270","Khan Younis","2023-10-14","M_20Plus",10900,106771.491233539
"PS0270","Khan Younis","2023-10-14","T_18Plus",21100,230235.59976474
"PS0270","Khan Younis","2023-10-14","T_20Plus",19500,211986.232787097
"PS0255","North Gaza","2023-10-14","F_18Plus",5300,115193.952084361
"PS0255","North Gaza","2023-10-14","F_20Plus",4900,107077.16493696
"PS0255","North Gaza","2023-10-14","M_18Plus",7700,119499.18897573
"PS0255","North Gaza","2023-10-14","M_20Plus",7000,110559.746289975
"PS0255","North Gaza","2023-10-14","T_18Plus",13100,235925.902369464
"PS0255","North Gaza","2023-10-14","T_20Plus",12000,217405.162968967
"PS0275","Rafah","2023-10-14","F_18Plus",6100,74657.2745289053
"PS0275","Rafah","2023-10-14","F_20Plus",5600,68362.3158290509
"PS0275","Rafah","2023-10-14","M_18Plus",8400,74176.6691956933
"PS0275","Rafah","2023-10-14","M_20Plus",7700,68702.9432676908
"PS0275","Rafah","2023-10-14","T_18Plus",14500,149316.255130892
"PS0275","Rafah","2023-10-14","T_20Plus",13200,137881.794930824
"PS0265","Deir Al-Balah","2023-10-15","F_18Plus",3500,83173.3280384402
"PS0265","Deir Al-Balah","2023-10-15","F_20Plus",3300,77118.5418884573
"PS0265","Deir Al-Balah","2023-10-15","M_18Plus",4800,82887.3446632701
"PS0265","Deir Al-Balah","2023-10-15","M_20Plus",4400,76066.7902583797
"PS0265","Deir Al-Balah","2023-10-15","T_18Plus",8400,166100.474389902
"PS0265","Deir Al-Balah","2023-10-15","T_20Plus",7700,152858.521733087
"PS0260","Gaza","2023-10-15","F_18Plus",22300,201043.519425895
"PS0260","Gaza","2023-10-15","F_20Plus",20900,185989.78299305
"PS0260","Gaza","2023-10-15","M_18Plus",30700,204945.53758915
"PS0260","Gaza","2023-10-15","M_20Plus",28500,189399.360983631
"PS0260","Gaza","2023-10-15","T_18Plus",53000,406718.759483089
"PS0260","Gaza","2023-10-15","T_20Plus",49100,374097.990601353
"PS0270","Khan Younis","2023-10-15","F_18Plus",9100,116489.495881258
"PS0270","Khan Younis","2023-10-15","F_20Plus",8400,106918.381799607
"PS0270","Khan Younis","2023-10-15","M_18Plus",12100,116313.256119684
"PS0270","Khan Younis","2023-10-15","M_20Plus",11100,107824.023250897
"PS0270","Khan Younis","2023-10-15","T_18Plus",21400,232537.113832442
"PS0270","Khan Younis","2023-10-15","T_20Plus",19900,215450.768209319
"PS0255","North Gaza","2023-10-15","F_18Plus",5100,111093.604807292
"PS0255","North Gaza","2023-10-15","F_20Plus",4700,102694.160127828
"PS0255","North Gaza","2023-10-15","M_18Plus",7500,116150.064815068
"PS0255","North Gaza","2023-10-15","M_20Plus",6800,106505.405342644
"PS0255","North Gaza","2023-10-15","T_18Plus",12700,227770.006101621
"PS0255","North Gaza","2023-10-15","T_20Plus",11600,209299.659386168
